email,label
URGENT: Your Amazon order has been shipped. Please check immediately.,ham
URGENT: HR: Please submit your timesheets by EOD.,ham
"URGENT: You have won $10,000 in our lottery. Claim now!",spam
URGENT: Project update: Deadline extended to next Friday. Please check immediately.,ham
You have an unread message. Click to view it! Please check immediately.,spam
Project update: Deadline extended to next Friday. Please check immediately.,ham
Let’s finalize the design in tomorrow's review. Please check immediately.,ham
URGENT: Your Amazon order has been shipped. Please check immediately.,ham
Your Amazon order has been shipped.,ham
Win a free iPhone now by taping this link!,spam
Meeting rescheduled to 2 PM. Please confirm. Please check immediately.,ham
Let’s finalize the design in tomorrow's review.,ham
URGENT: Meeting rescheduled to 2 PM. Please confirm. Please check immediately.,ham
Client feedback has been shared in the document. Please check immediately.,ham
You have an unread message. Click to view it!,spam
URGENT: Please find attached the report you requested. Please check immediately.,ham
Client feedback has been shared in the document. Please check immediately.,ham
Final reminder: Team meeting at 4 PM today. Please check immediately.,ham
Please find attached the report you requested. Please check immediately.,ham
This is not a scam! Click here to get your reward. Please check immediately.,spam
URGENT: Lunch meeting scheduled for 1 PM tomorrow. Please check immediately.,ham
URGENT: HR: Please submit your timesheets by EOD.,ham
Final reminder: Team meeting at 4 PM today. Please check immediately.,ham
URGENT: This is not a scam! Tap here to get your reward. Please check immediately.,spam
URGENT: Final reminder: Team meeting at 4 PM today.,ham
URGENT: HR: Please submit your timesheets by EOD.,ham
URGENT: Lunch meeting scheduled for 1 PM tomorrow.,ham
Project update: Deadline extended to next Friday. Please check immediately.,ham
Earn money quickly from home. Click here to learn more! Please check immediately.,spam
Client feedback has been shared in the document.,ham
Lunch meeting scheduled for 1 PM tomorrow. Please check immediately.,ham
Final reminder: Team meeting at 4 PM today. Please check immediately.,ham
Please find attached the report you requested.,ham
"URGENT: Congratulations, you've been selected for a prize!",spam
Meeting rescheduled to 2 PM. Please confirm. Please check immediately.,ham
"Congratulations, you've been selected for a prize!",spam
URGENT: This is not a scam! Tap here to get your reward.,spam
Exclusive deal for you! Lowest prices ever!,spam
URGENT: Can we reschedule our call to next week? Please check immediately.,ham
URGENT: Project update: Deadline extended to next Friday. Please check immediately.,ham
URGENT: Final reminder: Team meeting at 4 PM today.,ham
URGENT: Meeting rescheduled to 2 PM. Please confirm. Please check immediately.,ham
URGENT: Earn money quickly from home. Tap here to learn more! Please check immediately.,spam
URGENT: Client feedback has been shared in the document. Please check immediately.,ham
You have an unread message. Click to view it! Please check immediately.,spam
"URGENT: You have won $10,000 in our lottery. Claim now! Please check immediately.",spam
URGENT: HR: Please submit your timesheets by EOD. Please check immediately.,ham
Your Amazon order has been shipped. Please check immediately.,ham
Exclusive deal for you! Lowest prices ever! Please check immediately.,spam
URGENT: Get cheap medicines without prescription now!,spam
Please find attached the report you requested.,ham
Win a free iPhone now by clicking this link!,spam
